global_epoch,stage,stage_epoch,train_loss,train_accuracy,train_optimizer_steps,train_coarse_ce,train_supcon,val_loss,val_accuracy,val_macro_f1,val_mae,val_qwk,val_class_metrics,val_adjacent_error_count,val_distant_error_count,lr,train_mid_coarse_consistency,train_mid_entropy,train_fine_ce,train_sibling_penalty,train_aux_coarse,train_aux_mid
0,stage1_coarse,0,0.4176025390625,1.0,1,0.4176025390625,0.0,1.6385695934295654,0.0,0.0,4.0,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 2}, '1': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}",0,2,1e-06,,,,,,
1,stage2_mid_fusion,0,0.714622437953949,0.5,1,,,1.903609275817871,0.0,0.0,1.0,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 2}, '1': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}",2,0,1e-06,0.704887866973877,0.9734557271003723,,,,
2,stage3_fine,0,2.180065155029297,0.0,0,,,1.843400239944458,0.0,0.0,1.0,0.0,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 2}, '1': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 0}}",2,0,0.0001,,,1.62451171875,0.19716189801692963,0.7177734375,1.7890472412109375
